# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-48850
# Timestamp: Sat, 29-Jun-2024 15:01:02
Gene ID	Gene Name	'papillary thyroid carcinoma' vs 'normal' .foldChange	'papillary thyroid carcinoma' vs 'normal'.pValue
ENSG00000000003	TSPAN6	-0.2	0.775034724108653
ENSG00000000419	DPM1	-0.1	0.521120357368
ENSG00000000457	SCYL3	0.2	0.714454054412707
ENSG00000000460	C1orf112	0.2	0.49530222095289
ENSG00000000938	FGR	0.3	0.812856402599696
ENSG00000000971	CFH	-0.2	0.858611767778586
ENSG00000001036	FUCA2	0.2	0.625889973532356
ENSG00000001084	GCLC	0.6	0.504955748949617
ENSG00000001167	NFYA	-0.2	0.773023592556331
ENSG00000001460	STPG1	0.4	0.346171487009866
ENSG00000001461	NIPAL3	0.7	0.00114285077754804
ENSG00000001497	LAS1L	0.2	0.579078692044422
ENSG00000001561	ENPP4	0.1	0.77659772821584
ENSG00000001617	SEMA3F	1.7	0.00183312076743726
ENSG00000001626	CFTR	-1.3	0.23315707358669
ENSG00000001629	ANKIB1	0.1	0.884823596715572
ENSG00000001630	CYP51A1	0.2	0.80277503043616
ENSG00000002016	RAD52	-0.1	0.874928756263453
ENSG00000002079	MYH16	-0.2	0.885257009568525
ENSG00000002549	LAP3	0.5	0.27303930335319
ENSG00000002586	CD99	-0.1	0.924132978908592
ENSG00000002587	HS3ST1	-0.7	0.488395016739768
ENSG00000002726	AOC1	3.7	4.82491977281243E-5
ENSG00000002746	HECW1	-0.8	0.545637573939312
ENSG00000002822	MAD1L1	0.3	0.346797714531463
ENSG00000002834	LASP1	0.8	0.0374512473285032
ENSG00000002919	SNX11	0.1	0.918036184640266
ENSG00000002933	TMEM176A	1.7	0.0322782688525306
ENSG00000003056	M6PR	0.2	0.481502241066118
ENSG00000003096	KLHL13	-0.2	0.886355553237767
ENSG00000003137	CYP26B1	0.3	0.813738002913065
ENSG00000003147	ICA1	-0.1	0.895954288856655
ENSG00000003249	DBNDD1	0.5	0.405485195332442
ENSG00000003393	ALS2	-0.3	0.176565602107918
ENSG00000003400	CASP10	0.8	0.168821996400715
ENSG00000003402	CFLAR	-0.1	0.839122047571677
ENSG00000003436	TFPI	-1.8	0.0084973646796532
ENSG00000003509	NDUFAF7	0.2	0.616975088686094
ENSG00000003756	RBM5	-0.1	0.753886231495202
ENSG00000003987	MTMR7	0.8	0.171410304077578
ENSG00000003989	SLC7A2	1.0	0.0948032294459425
ENSG00000004059	ARF5	0.3	0.0707266932988991
ENSG00000004139	SARM1	-0.2	0.745512402162815
ENSG00000004142	POLDIP2	0.3	0.515038692777698
ENSG00000004399	PLXND1	1.5	0.00124219478562845
ENSG00000004455	AK2	0.3	0.197932937411713
ENSG00000004468	CD38	0.5	0.778016834581383
ENSG00000004478	FKBP4	0.4	0.62676650971446
ENSG00000004487	KDM1A	0.2	0.52904401064077
ENSG00000004534	RBM6	-0.3	0.326063826276828
ENSG00000004660	CAMKK1	0.4	0.416448772846891
ENSG00000004700	RECQL	0.2	0.745873630411394
ENSG00000004776	HSPB6	-1.5	0.0297610636908228
ENSG00000004777	ARHGAP33	-1.2	0.0239877749584417
ENSG00000004779	NDUFAB1	0.5	0.0378887673169047
ENSG00000004799	PDK4	1.0	0.285923429222639
ENSG00000004848	ARX	4.5	2.78375547257372E-9
ENSG00000004864	SLC25A13	0.7	0.137820392618399
ENSG00000004866	ST7	-0.4	0.25597049251639
ENSG00000004897	CDC27	-0.3	0.115548179451171
ENSG00000004939	SLC4A1	1.0	0.460738863622575
ENSG00000004948	CALCR	0.7	0.640557381014794
ENSG00000004961	HCCS	0.2	0.71309179052558
ENSG00000004975	DVL2	-0.1	0.622583684859802
ENSG00000005001	PRSS22	0.2	0.825420205584731
ENSG00000005007	UPF1	0.6	1.58717745530712E-4
ENSG00000005020	SKAP2	-0.2	0.871938795502646
ENSG00000005022	SLC25A5	0.5	0.298881049290046
ENSG00000005059	MCUB	1.3	0.0789686612034254
ENSG00000005075	POLR2J	0.2	0.667612663521195
ENSG00000005100	DHX33	0.1	0.772708761404041
ENSG00000005102	MEOX1	0.9	0.416337188074926
